id_eigl;public_data;country;name;location;company;capacity_mwe;start_year;eigl_process;eigl_text_lon;eigl_text_lat;x;y
477;YES;Germany;Solar-Wasserstoff-Projekt;Neunburg vorm Wald;;0.3;1996;Other or unknown;12.381999999999998;49.34870000000001;1378357.9349999987;6334236.946000002
478;YES;Germany;HyFLEET:CUTE;Hamburg;;0.4;2003;Other or unknown;10.0099;53.5438;1114296.9708999991;7084226.566699997
479;YES;Germany;SolarFuel-Alpha 1st site;Stuttgart;;0.025;2009;Power to Gas;9.179999999999998;48.7784;1021912.9255000018;6237343.817299999
480;YES;Germany;SolarFuel-Alpha 2nd site;Werlte;;0.025;2010;Power to Gas;7.676399999999998;52.8519;854532.939100001;6955650.275399998
481;YES;Germany;SolarFuel-Alpha 3rd site;Morbach;;0.025;2011;Power to Gas;7.124199999999999;49.810300000000005;793062.316300001;6413487.727499999
482;YES;Germany;Hybridkraftwerk Prenzlau;Prenzlau;;0.6;2011;Other or unknown;13.894299999999998;53.3383;1546706.4008999988;7045821.077
483;YES;Germany;Methanisierung am Eichhof, SolarFuel-Alpha 4th sItalye;Bad Hersfeld;;0.025;2012;Power to Gas;9.706799999999998;50.8681;1080556.0331999995;6597995.220700003
484;YES;Germany;REG-Technikum;Stuttgart;;0.25;2012;Power to Gas;9.179999999999998;48.7784;1021912.9255000018;6237343.817299999
485;YES;Germany;Biocatalytic methanation;Cottbus;;0;2013;Power to Gas;14.3357;51.756699999999995;1595842.8242000006;6756252.681599997
486;YES;Germany;PtG-Etzel;Etzel;;6;2013;Other or unknown;7.8839;53.459;877631.7335000001;7068355.943099998
487;YES;Germany;RH2-WKA;Grapzow;;1;2013;Other or unknown;13.2891;53.712500000000006;1479335.8451000005;7115894.172200002
488;YES;Germany;designetz Pilotanlage Ibbenbüren;Ibbenbüren;;0.15;2013;Other or unknown;7.7151;52.2775;858841.0034000017;6850457.379199997
489;YES;Germany;Forschungsanlage am Technikum Germanys PFI;Pirmasens;;0;2013;Power to Gas;7.6088;49.19969999999999;847007.7415000014;6308814.487999998
490;YES;Germany;PtG am Eucolino;Schwandorf;;0.108;2013;Power to Gas;12.1093;49.32620000000001;1348001.1099000014;6330393.056900002
491;YES;Germany;e-Gas-Anlage Werlte;Werlte;;6;2013;Power to Gas;7.676399999999998;52.8519;854532.939100001;6955650.275399998
492;YES;Germany;PtG Berlin-Schöneberg;Berlin;;0.007;2014;Other or unknown;13.402499999999998;52.50150000000001;1491959.4754000008;6891316.022
493;YES;Germany;Thüga Strom zu Gas Plattform;Frankfurt;;0.3;2014;Other or unknown;8.6821;50.1106;966486.9510000013;6465451.8901999965
494;YES;Germany;Forschungsanlage Germanyr DVGW-Forsch.-stelle am EBI;Karlsruhe;;0;2014;Power to Gas;8.4041;49.01059999999999;935540.1325999983;6276660.183700003
495;YES;Germany;GermanymoSNG (2nd site);Karlsruhe;;0.006;2014;Power to Gas;8.4041;49.01059999999999;935540.1325999983;6276660.183700003
496;YES;Germany;Energiepark Mainz;Mainz;;6;2014;Other or unknown;8.2522;49.944399999999995;918630.7019000016;6436652.4624999985
497;YES;Germany;P2G-Elektrolyse zur AEL-Erforschung;Stuttgart;;0.37;2014;Other or unknown;9.179999999999998;48.7784;1021912.9255000018;6237343.817299999
498;YES;Germany;BioPower2Gas;Allendorf (Eder);;0.3;2015;Power to Gas;8.672300000000002;51.0296;965396.0199999996;6626531.291100003
499;YES;Germany;GICON-Großtechnikum;Cottbus;;0;2015;Power to Gas;14.3357;51.756699999999995;1595842.8242000006;6756252.681599997
